_date,total_clones,unique_clones
2021-05-22,2,2
2021-05-24,1,1
2021-05-25,1,1
2021-05-26,1,1
2021-05-27,5,4
2021-05-28,1,1
2021-05-31,1,1
2021-06-01,1,1
2021-06-02,1,1
2021-06-03,2,2
2021-06-04,7,7
2021-06-05,1,1
2021-06-06,1,1
2021-06-07,5,5
2021-06-09,3,2
2021-06-10,1,1
2021-06-11,3,3
2021-06-12,4,3
2021-06-13,5,4
2021-06-14,2,2
2021-06-15,4,3
2021-06-16,1,1
2021-06-17,1,1
2021-06-18,2,2
2021-06-19,2,2
2021-06-20,2,2
2021-06-21,3,3
2021-06-22,3,3
2021-06-23,1,1
2021-06-24,7,6
2021-06-26,4,4
2021-06-27,3,3
2021-06-28,5,4
2021-07-01,3,3
2021-07-02,3,2
2021-07-03,1,1
2021-07-04,4,4
